# Sherwood number,Power number,LCOW,Energy Consumption,Volumetric Recovery,Membrane area,cp_average,Pressure drop,Average K,Average f,Average Re,Average Sh,Average Pn,Inlet velocity,Outlet velocity,Sherwood number,Power number,Channel height,Spacer porosity,Length,Number of pressure vessels,Telescoping potential,Operating pressure,Outlet bulk concentration,Outlet interface concentration
1.238599e+01,1.000000e+05,9.734498e-01,5.645141e+00,5.000000e-01,4.905276e+04,1.687253e+00,-1.207388e+04,2.416013e-05,1.498854e-01,2.188110e+02,1.238599e+01,1.000000e+05,2.500000e-01,1.251535e-01,1.238599e+01,1.000000e+05,7.112000e-04,8.500000e-01,6.000000e+00,2.000000e+02,2.012314e-02,1.205696e+07,6.979020e+01,1.070982e+02
1.238599e+01,1.389495e+05,9.737830e-01,5.647786e+00,5.000000e-01,4.905276e+04,1.687264e+00,-1.677701e+04,2.416013e-05,2.082732e-01,2.188073e+02,1.238599e+01,1.389495e+05,2.500000e-01,1.251535e-01,1.238599e+01,1.389495e+05,7.112000e-04,8.500000e-01,6.000000e+00,2.000000e+02,2.796168e-02,1.206035e+07,6.979020e+01,1.070904e+02
1.238599e+01,1.930698e+05,9.742460e-01,5.651463e+00,5.000000e-01,4.905276e+04,1.687279e+00,-2.331236e+04,2.416014e-05,2.894102e-01,2.188022e+02,1.238599e+01,1.930698e+05,2.500000e-01,1.251535e-01,1.238599e+01,1.930698e+05,7.112000e-04,8.500000e-01,6.000000e+00,2.000000e+02,3.885393e-02,1.206506e+07,6.979020e+01,1.070796e+02
1.238599e+01,2.682696e+05,9.748895e-01,5.656572e+00,5.000000e-01,4.905276e+04,1.687301e+00,-3.239392e+04,2.416014e-05,4.021643e-01,2.187950e+02,1.238599e+01,2.682696e+05,2.500000e-01,1.251535e-01,1.238599e+01,2.682696e+05,7.112000e-04,8.500000e-01,6.000000e+00,2.000000e+02,5.398987e-02,1.207160e+07,6.979019e+01,1.070647e+02
1.238599e+01,3.727594e+05,9.757837e-01,5.663673e+00,5.000000e-01,4.905276e+04,1.687332e+00,-4.501411e+04,2.416014e-05,5.588637e-01,2.187851e+02,1.238599e+01,3.727594e+05,2.500000e-01,1.251535e-01,1.238599e+01,3.727594e+05,7.112000e-04,8.500000e-01,6.000000e+00,2.000000e+02,7.502352e-02,1.208070e+07,6.979019e+01,1.070439e+02
1.238599e+01,5.179475e+05,9.770266e-01,5.673542e+00,5.000000e-01,4.905276e+04,1.687374e+00,-6.255252e+04,2.416015e-05,7.766510e-01,2.187713e+02,1.238599e+01,5.179475e+05,2.500000e-01,1.251535e-01,1.238599e+01,5.179475e+05,7.112000e-04,8.500000e-01,6.000000e+00,2.000000e+02,1.042542e-01,1.209334e+07,6.979018e+01,1.070150e+02
1.238599e+01,7.196857e+05,9.787544e-01,5.687261e+00,5.000000e-01,4.905276e+04,1.687433e+00,-8.692727e+04,2.416016e-05,1.079370e+00,2.187522e+02,1.238599e+01,7.196857e+05,2.500000e-01,1.251535e-01,1.238599e+01,7.196857e+05,7.112000e-04,8.500000e-01,6.000000e+00,2.000000e+02,1.448788e-01,1.211092e+07,6.979017e+01,1.069749e+02
1.238599e+01,1.000000e+06,9.811564e-01,5.706331e+00,5.000000e-01,4.905276e+04,1.687515e+00,-1.208060e+05,2.416018e-05,1.500200e+00,2.187256e+02,1.238599e+01,1.000000e+06,2.500000e-01,1.251535e-01,1.238599e+01,1.000000e+06,7.112000e-04,8.500000e-01,6.000000e+00,2.000000e+02,2.013433e-01,1.213536e+07,6.979015e+01,1.069193e+02
1.238599e+01,1.389495e+06,9.844966e-01,5.732849e+00,5.000000e-01,4.905276e+04,1.687629e+00,-1.678998e+05,2.416020e-05,2.085332e+00,2.186886e+02,1.238599e+01,1.389495e+06,2.500000e-01,1.251535e-01,1.238599e+01,1.389495e+06,7.112000e-04,8.500000e-01,6.000000e+00,2.000000e+02,2.798330e-01,1.216934e+07,6.979013e+01,1.068420e+02
1.238599e+01,1.930698e+06,9.891428e-01,5.769730e+00,5.000000e-01,4.905276e+04,1.687790e+00,-2.333742e+05,2.416023e-05,2.899130e+00,2.186373e+02,1.238599e+01,1.930698e+06,2.500000e-01,1.251535e-01,1.238599e+01,1.930698e+06,7.112000e-04,8.500000e-01,6.000000e+00,2.000000e+02,3.889570e-01,1.221662e+07,6.979010e+01,1.067347e+02
1.238599e+01,2.682696e+06,9.956084e-01,5.821046e+00,5.000000e-01,4.905276e+04,1.688017e+00,-3.244235e+05,2.416027e-05,4.031369e+00,2.185660e+02,1.238599e+01,2.682696e+06,2.500000e-01,1.251535e-01,1.238599e+01,2.682696e+06,7.112000e-04,8.500000e-01,6.000000e+00,2.000000e+02,5.407059e-01,1.228243e+07,6.979006e+01,1.065860e+02
1.238599e+01,3.727594e+06,1.004611e+00,5.892482e+00,5.000000e-01,4.905276e+04,1.688336e+00,-4.510774e+05,2.416033e-05,5.607462e+00,2.184671e+02,1.238599e+01,3.727594e+06,2.500000e-01,1.251535e-01,1.238599e+01,3.727594e+06,7.112000e-04,8.500000e-01,6.000000e+00,2.000000e+02,7.517957e-01,1.237408e+07,6.979000e+01,1.063798e+02
1.238599e+01,5.179475e+06,1.017157e+00,5.992001e+00,5.000000e-01,4.905276e+04,1.688790e+00,-6.273360e+05,2.416041e-05,7.802987e+00,2.183297e+02,1.238599e+01,5.179475e+06,2.500000e-01,1.251535e-01,1.238599e+01,5.179475e+06,7.112000e-04,8.500000e-01,6.000000e+00,2.000000e+02,1.045560e+00,1.250185e+07,6.978992e+01,1.060944e+02
1.238599e+01,7.196857e+06,1.034660e+00,6.130783e+00,5.000000e-01,4.905276e+04,1.689440e+00,-8.727774e+05,2.416052e-05,1.086448e+01,2.181392e+02,1.238599e+01,7.196857e+06,2.500000e-01,1.251535e-01,1.238599e+01,7.196857e+06,7.112000e-04,8.500000e-01,6.000000e+00,2.000000e+02,1.454629e+00,1.268021e+07,6.978981e+01,1.056997e+02
1.238599e+01,1.000000e+07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.534127e+01,1.000000e+05,9.108682e-01,5.260078e+00,5.000000e-01,4.905276e+04,1.524850e+00,-1.208514e+04,2.992487e-05,1.501065e-01,2.186737e+02,1.534127e+01,1.000000e+05,2.500000e-01,1.251536e-01,1.534127e+01,1.000000e+05,7.112000e-04,8.500000e-01,6.000000e+00,2.000000e+02,2.014190e-02,1.124106e+07,6.980167e+01,9.842483e+01
1.534127e+01,1.389495e+05,9.112023e-01,5.262730e+00,5.000000e-01,4.905276e+04,1.524858e+00,-1.679273e+04,2.992487e-05,2.085819e-01,2.186693e+02,1.534127e+01,1.389495e+05,2.500000e-01,1.251536e-01,1.534127e+01,1.389495e+05,7.112000e-04,8.500000e-01,6.000000e+00,2.000000e+02,2.798788e-02,1.124446e+07,6.980167e+01,9.841805e+01
1.534127e+01,1.930698e+05,9.116667e-01,5.266416e+00,5.000000e-01,4.905276e+04,1.524869e+00,-2.333434e+04,2.992488e-05,2.898421e-01,2.186633e+02,1.534127e+01,1.930698e+05,2.500000e-01,1.251536e-01,1.534127e+01,1.930698e+05,7.112000e-04,8.500000e-01,6.000000e+00,2.000000e+02,3.889057e-02,1.124919e+07,6.980167e+01,9.840864e+01
1.534127e+01,2.682696e+05,9.123120e-01,5.271538e+00,5.000000e-01,4.905276e+04,1.524884e+00,-3.242474e+04,2.992489e-05,4.027701e-01,2.186549e+02,1.534127e+01,2.682696e+05,2.500000e-01,1.251536e-01,1.534127e+01,2.682696e+05,7.112000e-04,8.500000e-01,6.000000e+00,2.000000e+02,5.404123e-02,1.125575e+07,6.980166e+01,9.839556e+01
1.534127e+01,3.727594e+05,9.132089e-01,5.278656e+00,5.000000e-01,4.905276e+04,1.524906e+00,-4.505747e+04,2.992489e-05,5.597163e-01,2.186432e+02,1.534127e+01,3.727594e+05,2.500000e-01,1.251536e-01,1.534127e+01,3.727594e+05,7.112000e-04,8.500000e-01,6.000000e+00,2.000000e+02,7.509578e-02,1.126488e+07,6.980166e+01,9.837739e+01
1.534127e+01,5.179475e+05,9.144555e-01,5.288550e+00,5.000000e-01,4.905276e+04,1.524937e+00,-6.261379e+04,2.992490e-05,7.778568e-01,2.186269e+02,1.534127e+01,5.179475e+05,2.500000e-01,1.251536e-01,1.534127e+01,5.179475e+05,7.112000e-04,8.500000e-01,6.000000e+00,2.000000e+02,1.043563e-01,1.127757e+07,6.980165e+01,9.835216e+01
1.534127e+01,7.196857e+05,9.161883e-01,5.302303e+00,5.000000e-01,4.905276e+04,1.524979e+00,-8.701441e+04,2.992492e-05,1.081086e+00,2.186044e+02,1.534127e+01,7.196857e+05,2.500000e-01,1.251536e-01,1.534127e+01,7.196857e+05,7.112000e-04,8.500000e-01,6.000000e+00,2.000000e+02,1.450240e-01,1.129521e+07,6.980164e+01,9.831711e+01
1.534127e+01,1.000000e+06,9.185977e-01,5.321424e+00,5.000000e-01,4.905276e+04,1.525038e+00,-1.209309e+05,2.992494e-05,1.502663e+00,2.185730e+02,1.534127e+01,1.000000e+06,2.500000e-01,1.251536e-01,1.534127e+01,1.000000e+06,7.112000e-04,8.500000e-01,6.000000e+00,2.000000e+02,2.015515e-01,1.131973e+07,6.980162e+01,9.826844e+01
1.534127e+01,1.389495e+06,9.219482e-01,5.348012e+00,5.000000e-01,4.905276e+04,1.525120e+00,-1.680809e+05,2.992497e-05,2.088909e+00,2.185295e+02,1.534127e+01,1.389495e+06,2.500000e-01,1.251536e-01,1.534127e+01,1.389495e+06,7.112000e-04,8.500000e-01,6.000000e+00,2.000000e+02,2.801348e-01,1.135384e+07,6.980160e+01,9.820087e+01
