Sherwood number,Power number,Membrane area list,cp (TDS) list,Pressure drop list,K (TDS) list,f list,Re list,Sh (TDS) list,Pn list,Telescoping potential list,Inlet velocity list,Outlet velocity list,Number of pressure vessels list
12.385989684455543,2682695.7952797273,[49052.76000000001],[1.6880166618519081],[-324423.5434640746],[2.416026849748096e-05],[4.031368513321138],[218.56600312216773],[12.385989684455543],[2682695.7952797264],[0.5407059057734577],[0.24999999999999994],[0.12515350127114735],[200.0]
12.385989684455543,3727593.720314938,[49052.76000000001],[1.6883361822305698],[-451077.40887203166],[2.416032610169576e-05],[5.607462249920591],[218.4670549713748],[12.385989684455543],[3727593.7203149376],[0.751795681453386],[0.24999999999999997],[0.125153500756119],[200.0]
12.385989684455543,5179474.6792312125,[49052.76000000001],[1.6887900197645016],[-627336.0164391658],[2.4160407784526235e-05],[7.802986714526556],[218.32973113148614],[12.385989684455543],[5179474.679231213],[1.0455600273986096],[0.24999999999999997],[0.12515350002736605],[200.0]
12.385989684455543,7196856.730011513,[49052.76],[1.689439568743631],[-872777.4312546969],[2.416052446476132e-05],[10.864480329345136],[218.13924214650805],[12.385989684455543],[7196856.730011513],[1.4546290520911616],[0.24999999999999997],[0.125153498989466],[200.0]
12.385989684455543,10000000.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan]
15.341274046343907,100000.0,[49052.76000000001],[1.5248495506925017],[-12085.140901871162],[2.992487187275497e-05],[0.15010649753163122],[218.67370043467633],[15.341274046343909],[100000.0],[0.020141901503118606],[0.24999999999999994],[0.125153604326093],[200.0]
15.341274046343907,138949.5494373139,[49052.76],[1.5248576223398804],[-16792.726373396184],[2.9924874931779384e-05],[0.20858189173821265],[218.66934267199514],[15.341274046343905],[138949.54943731392],[0.02798787728899364],[0.24999999999999994],[0.12515360430654732],[200.0]
15.341274046343907,193069.77288832495,[49052.76],[1.5248688492269635],[-23334.339739384326],[2.992487918622567e-05],[0.28984211837031987],[218.66328785135585],[15.341274046343905],[193069.7728883249],[0.03889056623230722],[0.24999999999999994],[0.12515360427937114],[200.0]
15.341274046343907,268269.57952797273,[49052.76],[1.5248844708825582],[-32424.740553219417],[2.9924885105379062e-05],[0.4027700858999575],[218.65487522879337],[15.341274046343905],[268269.57952797273],[0.0540412342553657],[0.24999999999999994],[0.1251536042415764],[200.0]
15.341274046343907,372759.3720314938,[49052.76000000001],[1.524906219463198],[-45057.4695900193],[2.9924893344731262e-05],[0.5597163113292255],[218.64318693896635],[15.341274046343909],[372759.37203149375],[0.07509578265003217],[0.24999999999999994],[0.1251536041889957],[200.0]
15.341274046343907,517947.46792312124,[49052.76000000001],[1.5249365207722494],[-62613.79230855689],[2.9924904821696274e-05],[0.7778567787411466],[218.62694806741104],[15.341274046343909],[517947.4679231214],[0.10435632051426148],[0.24999999999999994],[0.12515360411580956],[200.0]
15.341274046343907,719685.6730011514,[49052.76000000001],[1.5249787820635132],[-87014.41076361916],[2.9924920823793402e-05],[1.0810864543139542],[218.60438800730654],[15.341274046343909],[719685.6730011513],[0.14502401793936526],[0.24999999999999994],[0.12515360401387554],[200.0]
15.341274046343907,1000000.0,[49052.76000000001],[1.5250378082966196],[-120930.91588440198],[2.9924943164725604e-05],[1.5026634644231573],[218.57304821505514],[15.341274046343909],[999999.9999999999],[0.2015515264740033],[0.24999999999999994],[0.125153603871771],[200.0]
15.341274046343907,1389495.494373136,[49052.76000000001],[1.5251204120013941],[-168080.8572323416],[2.9924974412402356e-05],[2.0889087247402274],[218.52951586507908],[15.341274046343909],[1389495.4943731357],[0.2801347620539027],[0.24999999999999994],[0.12515360367341424],[200.0]
15.341274046343907,1930697.7288832497,[49052.76000000001],[1.5252363212039095],[-233640.18086461545],[2.992501822740086e-05],[2.904396360463708],[218.46905528110236],[15.341274046343909],[1930697.7288832492],[0.3894003014410257],[0.24999999999999997],[0.12515360339605533],[200.0]
15.341274046343907,2682695.7952797273,[49052.76],[1.5253995571464798],[-324821.05090115557],[2.9925079875252207e-05],[4.039263171592754],[218.38509878151757],[15.341274046343905],[2682695.7952797273],[0.5413684181685927],[0.24999999999999994],[0.12515360300730147],[200.0]
15.341274046343907,3727593.720314938,[49052.76000000001],[1.5256305710250682],[-451683.9654748064],[2.9925167019994395e-05],[5.619556520231541],[218.26854505659634],[15.341274046343909],[3727593.7203149376],[0.7528066091246772],[0.24999999999999994],[0.12515360246063448],[200.0]
15.341274046343907,5179474.6792312125,[49052.76],[1.5259596372746578],[-628284.2392127789],[2.992529098634341e-05],[7.821991372673922],[218.10679584949344],[15.341274046343905],[5179474.679231213],[1.0471403986879646],[0.24999999999999994],[0.12515360168850773],[200.0]
15.341274046343907,7196856.730011513,[49052.76000000001],[1.526432373775522],[-874300.4771038848],[2.9925468826039923e-05],[10.895211125587545],[217.8824405845246],[15.341274046343909],[7196856.730011513],[1.457167461839808],[0.24999999999999994],[0.1251536005914531],[200.0]
15.341274046343907,10000000.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan]
19.00168620844212,100000.0,[49052.76],[1.405342442878152],[-12093.016632908257],[3.7065057990212484e-05],[0.1502614098034394],[218.57824418007948],[19.00168620844212],[100000.0],[0.02015502772151376],[0.24999999999999997],[0.1251536794716155],[200.0]
19.00168620844212,138949.5494373139,[49052.76],[1.405348074587061],[-16803.735117367265],[3.706506236706297e-05],[0.20879848053753017],[218.57330508150847],[19.00168620844212],[138949.54943731386],[0.02800622519561211],[0.24999999999999994],[0.12515367945090847],[200.0]
19.00168620844212,193069.77288832495,[49052.76000000001],[1.4053559085971365],[-23349.762745350974],[3.7065068455027554e-05],[0.2901456540183339],[218.56644254070991],[19.00168620844212],[193069.77288832498],[0.038916271242251624],[0.24999999999999994],[0.12515367942212005],[200.0]
19.00168620844212,268269.57952797273,[49052.76],[1.4053668108590556],[-32446.41490761999],[3.7065076926491176e-05],[0.4031968450250897],[218.55690767849512],[19.00168620844212],[268269.5795279727],[0.054077358179366646],[0.24999999999999994],[0.12515367938208757],[200.0]
19.00168620844212,372759.3720314938,[49052.76],[1.4053819922000907],[-45088.05768498608],[3.706508872123908e-05],[0.5603189509765719],[218.54366020365467],[19.00168620844212],[372759.3720314937],[0.07514676280831013],[0.24999999999999994],[0.12515367932640256],[200.0]
19.00168620844212,517947.46792312124,[49052.76000000001],[1.4054031497087627],[-62657.20575617652],[3.706510515574482e-05],[0.7787128226378277],[218.52525516417955],[19.00168620844212],[517947.46792312106],[0.1044286762602942],[0.24999999999999994],[0.12515367924891263],[200.0]
19.00168620844212,719685.6730011514,[49052.76],[1.405432669739459],[-87076.49528908817],[3.706512807982194e-05],[1.082312063816799],[218.4996858271064],[19.00168620844212],[719685.6730011513],[0.14512749214848028],[0.24999999999999994],[0.12515367914101683],[200.0]
19.00168620844212,1000000.0,[49052.76000000001],[1.4054739226072366],[-121020.58892432279],[3.706516010357722e-05],[1.5044364270010664],[218.4641658234275],[19.00168620844212],[1000000.0],[0.20170098154053798],[0.24999999999999994],[0.1251536789906639],[200.0]
19.00168620844212,1389495.494373136,[49052.76],[1.4055316963570983],[-168212.04991902065],[3.706520493076096e-05],[2.0915079241692336],[218.41482733848272],[19.00168620844212],[1389495.4943731362],[0.28035341653170104],[0.24999999999999994],[0.1251536787809147],[200.0]
19.00168620844212,1930697.7288832497,[49052.76000000001],[1.405612846183737],[-233835.24015390486],[3.706526785689514e-05],[2.9082713902989425],[218.34630350023073],[19.00168620844212],[1930697.7288832495],[0.3897254002565081],[0.24999999999999994],[0.12515367848785763],[200.0]
19.00168620844212,2682695.7952797273,[49052.76],[1.4057272864148835],[-325116.84227106627],[3.706535652938026e-05],[4.04516021851257],[218.25115153269343],[19.00168620844212],[2682695.795279727],[0.5418614037851105],[0.24999999999999997],[0.12515367807754457],[200.0]
19.00168620844212,3727593.720314938,[49052.76000000001],[1.405889540416476],[-452143.05348546855],[3.706548213621331e-05],[5.628751311084758],[218.11905795092696],[19.00168620844212],[3727593.720314939],[0.7535717558091143],[0.24999999999999994],[0.12515367750140705],[200.0]
19.00168620844212,5179474.6792312125,[49052.76000000001],[1.4061212213756118],[-629015.7605037607],[3.7065661317207984e-05],[7.836729666470334],[217.9357474579577],[19.00168620844212],[5179474.679231213],[1.048359600839601],[0.24999999999999997],[0.1251536766892612],[200.0]
19.00168620844212,7196856.730011513,[49052.76],[1.406455100093627],[-875499.7846645461],[3.706591933018339e-05],[10.919559467396802],[217.68149329314357],[19.00168620844212],[7196856.730011513],[1.4591663077742438],[0.24999999999999997],[0.1251536755383737],[200.0]
19.00168620844212,10000000.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan]
23.535468936502525,100000.0,[49052.76],[1.3158456861116536],[-12098.391730746564],[4.5908868682953154e-05],[0.15036710132745795],[218.5135549087285],[23.535468936502525],[100000.0],[0.020163986217910938],[0.24999999999999994],[0.12515373590264914],[200.0]
23.535468936502525,138949.5494373139,[49052.76],[1.3158495423369403],[-16811.260034540865],[4.590887472954109e-05],[0.20894648879514227],[218.50811613165146],[23.535468936502525],[138949.54943731386],[0.02801876672423478],[0.24999999999999994],[0.12515373588084827],[200.0]
23.535468936502525,193069.77288832495,[49052.76],[1.3158549070330043],[-23360.327211060026],[4.590888314086664e-05],[0.29035353327807484],[218.5005593236339],[23.535468936502525],[193069.77288832498],[0.038933878685100044],[0.24999999999999994],[0.12515373585054132],[200.0]
23.535468936502525,268269.57952797273,[49052.76000000001],[1.3158623737785649],[-32461.304016281705],[4.5908894846942546e-05],[0.4034899871045531],[218.49005984552633],[23.535468936502525],[268269.57952797273],[0.05410217336046951],[0.24999999999999994],[0.12515373580840164],[200.0]
23.535468936502525,372759.3720314938,[49052.76000000001],[1.3158727729620363],[-45109.15143642925],[4.5908911148364475e-05],[0.5607345729796611],[218.47547216727344],[23.535468936502525],[372759.3720314939],[0.07518191906071542],[0.24999999999999994],[0.125153735749794],[200.0]
23.535468936502525,517947.46792312124,[49052.76],[1.3158872692349104],[-62687.29889338646],[4.590893386843653e-05],[0.7793063851059348],[218.4552051644799],[23.535468936502525],[517947.4679231212],[0.10447883148897744],[0.24999999999999994],[0.1251537356682533],[200.0]
23.535468936502525,719685.6730011514,[49052.76000000001],[1.3159075017658917],[-87119.82423101609],[4.5908965571822633e-05],[1.083167894113855],[218.42704910739343],[23.535468936502525],[719685.6730011516],[0.1451997070516935],[0.24999999999999994],[0.12515373555474882],[200.0]
23.535468936502525,1000000.0,[49052.76],[1.3159357884529945],[-121083.72410574187],[4.59090098824513e-05],[1.5056858047781367],[218.38793577440865],[23.535468936502525],[1000000.0000000002],[0.2018062068429031],[0.24999999999999994],[0.12515373539664076],[200.0]
23.535468936502525,1389495.494373136,[49052.76],[1.3159754276315523],[-168305.4472165588],[4.590907195257211e-05],[2.0933607149427615],[218.33360612419844],[23.535468936502525],[1389495.4943731357],[0.28050907869426467],[0.24999999999999994],[0.12515373517618933],[200.0]
23.535468936502525,1930697.7288832497,[49052.76000000001],[1.316031151812069],[-233976.00421119618],[4.590915916760841e-05],[2.9110727890987507],[218.25815046082565],[23.535468936502525],[1930697.7288832502],[0.38996000701866035],[0.24999999999999994],[0.12515373486840323],[200.0]
23.535468936502525,2682695.7952797273,[49052.76000000001],[1.3161098243760299],[-325333.7559457121],[4.590928222897414e-05],[4.049494916293269],[218.15337326885427],[23.535468936502525],[2682695.7952797273],[0.5422229265761868],[0.24999999999999994],[0.12515373443789649],[200.0]
23.535468936502525,3727593.720314938,[49052.76000000001],[1.3162215343880272],[-452485.9086612808],[4.5909456860754635e-05],[5.635638840355502],[218.0079180509553],[23.535468936502525],[3727593.7203149395],[0.7541431811021347],[0.24999999999999994],[0.12515373383422324],[200.0]
23.535468936502525,5179474.6792312125,[49052.76000000001],[1.3163813595403697],[-629572.9689338052],[4.590970657785147e-05],[7.847998262312946],[217.80606587091603],[23.535468936502525],[5179474.679231213],[1.0492882815563422],[0.24999999999999997],[0.12515373298481983],[200.0]
23.535468936502525,7196856.730011513,[49052.76000000001],[1.316612274180599],[-876432.1552024683],[4.591006731567516e-05],[10.93857639699251],[217.52609487662855],[23.535468936502525],[7196856.730011513],[1.4607202586707804],[0.24999999999999994],[0.12515373178408065],[200.0]
23.535468936502525,10000000.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan]
29.151007546634403,100000.0,[49052.76],[1.2478577348414979],[-12101.986044157158],[5.686278820100652e-05],[0.15043762947691405],[218.47066537051836],[29.151007546634403],[99999.99999999999],[0.02016997674026193],[0.24999999999999994],[0.12515377887873738],[200.0]
29.151007546634403,138949.5494373139,[49052.76],[1.2478603428457107],[-16816.30170493153],[5.6862796339683396e-05],[0.20904545569234237],[218.46480502072578],[29.151007546634403],[138949.54943731386],[0.028027169508219218],[0.24999999999999994],[0.12515377885593096],[200.0]
29.151007546634403,193069.77288832495,[49052.76],[1.2478639713018702],[-23367.424118366816],[5.686280766225779e-05],[0.2904929182853092],[218.45666246388535],[29.151007546634403],[193069.77288832495],[0.0389457068639447],[0.24999999999999994],[0.12515377882422804],[200.0]
29.151007546634403,268269.57952797273,[49052.76],[1.2478690219935902],[-32471.341950950977],[5.686282342180792e-05],[0.40368727782201963],[218.44534913785327],[29.151007546634403],[268269.5795279727],[0.05411890325158496],[0.24999999999999994],[0.1251537787801513],[200.0]
29.151007546634403,372759.3720314938,[49052.76],[1.2478760572168393],[-45123.440741689024],[5.6862845371562356e-05],[0.5610156984853402],[218.42963071313093],[29.151007546634403],[372759.3720314938],[0.07520573456948171],[0.24999999999999994],[0.125153778718857],[200.0]
29.151007546634403,517947.46792312124,[49052.76],[1.2478858660342882],[-62707.81413698353],[5.686287597097844e-05],[0.7797105313894153],[218.40779271995106],[29.151007546634403],[517947.467923121],[0.10451302356163922],[0.24999999999999994],[0.12515377863359264],[200.0]
29.151007546634403,719685.6730011514,[49052.76000000001],[1.247899559802986],[-87149.6068632562],[5.686291868262332e-05],[1.083755634252378],[218.3774541199596],[29.151007546634403],[719685.6730011513],[0.14524934477209367],[0.24999999999999994],[0.1251537785149324],[200.0]
29.151007546634403,1000000.0,[49052.76000000001],[1.247918711589122],[-121127.57719822705],[5.6862978405108775e-05],[1.506553204000164],[218.33530881193258],[29.151007546634403],[1000000.0],[0.2018792953303784],[0.24999999999999994],[0.1251537783496957],[200.0]
29.151007546634403,1389495.494373136,[49052.76],[1.2479455627390523],[-168371.16408326905],[5.68630621142824e-05],[2.0946644315019975],[218.2767675169273],[29.151007546634403],[1389495.4943731362],[0.2806186068054484],[0.24999999999999994],[0.12515377811940695],[200.0]
29.151007546634403,1930697.7288832497,[49052.76000000001],[1.247983334616527],[-234076.589736435],[5.6863179831228645e-05],[2.9130757915569534],[218.19546224449948],[29.151007546634403],[1930697.7288832502],[0.390127649560725],[0.24999999999999994],[0.1251537777980827],[200.0]
29.151007546634403,2682695.7952797273,[49052.76000000001],[1.2480367091633298],[-325491.5216175898],[5.686334611758879e-05],[4.052651526367059],[218.08256177879642],[29.151007546634403],[2682695.7952797273],[0.5424858693626496],[0.24999999999999994],[0.12515377734901656],[200.0]
29.151007546634403,3727593.720314938,[49052.76000000001],[1.2481125873456067],[-452740.1526780961],[5.6863582447462305e-05],[5.640756061344904],[217.9258284362424],[29.151007546634403],[3727593.7203149376],[0.7545669211301601],[0.24999999999999994],[0.12515377672003927],[200.0]
29.151007546634403,5179474.6792312125,[49052.76000000001],[1.2482213159403601],[-629994.6071376832],[5.68639210818583e-05],[7.856547726651246],[217.70832295668788],[29.151007546634403],[5179474.679231211],[1.0499910118961386],[0.24999999999999997],[0.12515377583640488],[200.0]
29.151007546634403,7196856.730011513,[49052.76],[1.248378720012801],[-877152.0172469305],[5.686441159851053e-05],[10.953309680666337],[217.40663571973892],[29.151007546634403],[7196856.730011515],[1.4619200287448844],[0.24999999999999994],[0.12515377458988028],[200.0]
29.151007546634403,10000000.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan]
36.106407876409946,100000.0,[49052.76],[1.1956048286270207],[-12104.347599655015],[7.043028798665816e-05],[0.1504837871463876],[218.44278875837136],[36.106407876409946],[100000.0],[0.02017391266609169],[0.24999999999999994],[0.12515381198107708],[200.0]
36.106407876409946,138949.5494373139,[49052.76],[1.1956065786810668],[-16819.62246137345],[7.043029873063711e-05],[0.20911039530032366],[218.43657735316998],[36.106407876409946],[138949.54943731392],[0.02803270410228908],[0.24999999999999994],[0.1251538119573695],[200.0]
36.106407876409946,193069.77288832495,[49052.76000000001],[1.195609013620571],[-23372.11437002152],[7.043031367880677e-05],[0.2905847045673877],[218.42794702313134],[36.106407876409946],[193069.772888325],[0.038953523950035866],[0.24999999999999994],[0.1251538119244157],[200.0]
36.106407876409946,268269.57952797273,[49052.76],[1.1956124032262223],[-32478.006003619288],[7.04303344868059e-05],[0.4038178160802555],[218.41595597069954],[36.106407876409946],[268269.57952797273],[0.054130010006032146],[0.24999999999999994],[0.1251538118786029],[200.0]
36.106407876409946,372759.3720314938,[49052.76],[1.1956171251663257],[-45132.98440810639],[7.043036347203119e-05],[0.5612028848614414],[218.39929591048164],[36.106407876409946],[372759.3720314938],[0.07522164068017731],[0.24999999999999994],[0.1251538118149006],[200.0]
36.106407876409946,517947.46792312124,[49052.76],[1.1956237096292504],[-62721.623978169046],[7.043040388715397e-05],[0.779981855559199],[218.3761496392633],[36.106407876409946],[517947.4679231214],[0.10453603996361506],[0.24999999999999994],[0.12515381172629836],[200.0]
36.106407876409946,719685.6730011514,[49052.76],[1.1956329037633204],[-87169.85719873189],[7.04304603149132e-05],[1.0841543824552993],[218.34399342495217],[36.106407876409946],[719685.6730011553],[0.1452830953312198],[0.24999999999999994],[0.12515381160301578],[200.0]
36.106407876409946,1000000.0,[49052.76],[1.1956457658834363],[-121157.76932102565],[7.043053924526052e-05],[1.50714941611741],[218.29932299810255],[36.106407876409946],[1000000.0000000005],[0.20192961553504274],[0.24999999999999994],[0.12515381143138635],[200.0]
36.106407876409946,1389495.494373136,[49052.76],[1.1956638053531634],[-168417.09491613074],[7.043064993280202e-05],[2.0955747121744643],[218.23727392681351],[36.106407876409946],[1389495.4943731353],[0.28069515819355123],[0.24999999999999994],[0.1251538111922728],[200.0]
36.106407876409946,1930697.7288832497,[49052.76],[1.1956891942131125],[-234148.12673889787],[7.043080569622082e-05],[2.914499888621971],[218.15109628456108],[36.106407876409946],[1930697.7288832497],[0.3902468778981631],[0.24999999999999994],[0.12515381085879815],[200.0]
36.106407876409946,2682695.7952797273,[49052.76000000001],[1.1957250943524018],[-325605.9116538974],[7.043102593465398e-05],[4.054941165512499],[218.03142890527886],[36.106407876409946],[2682695.795279727],[0.5426765194231623],[0.24999999999999994],[0.1251538103930638],[200.0]
36.106407876409946,3727593.720314938,[49052.76000000001],[1.1957761754660248],[-452928.2858401868],[7.043133934268815e-05],[5.644546825529153],[217.8652991860604],[36.106407876409946],[3727593.7203149376],[0.7548804764003114],[0.24999999999999994],[0.12515380974133938],[200.0]
36.106407876409946,5179474.6792312125,[49052.76000000001],[1.195849455495702],[-630313.0445333535],[7.043178919212309e-05],[7.863016301100245],[217.6347494875015],[36.106407876409946],[5179474.6792312125],[1.0505217408889227],[0.24999999999999994],[0.1251538088268914],[200.0]
36.106407876409946,7196856.730011513,[49052.76],[1.1959556972356877],[-877706.417263073],[7.043244228863632e-05],[10.964685448147856],[217.31496054197075],[36.106407876409946],[7196856.730011513],[1.4628440287717883],[0.24999999999999997],[0.1251538075390722],[200.0]
36.106407876409946,10000000.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan]
44.721359549995796,100000.0,[49052.76],[1.155064131174964],[-12105.874167830832],[8.723496741159647e-05],[0.15051344512164774],[218.425022399523],[44.721359549995796],[100000.00000000007],[0.020176456946384723],[0.24999999999999994],[0.12515383771233454],[200.0]
44.721359549995796,138949.5494373139,[49052.76000000001],[1.1550653001617963],[-16821.776049742486],[8.723498138975393e-05],[0.20915226566942616],[218.41852132399066],[44.721359549995796],[138949.54943731386],[0.028036293416237472],[0.24999999999999997],[0.12515383768783728],[200.0]
44.721359549995796,193069.77288832495,[49052.76000000001],[1.1550669266913245],[-23375.16941130183],[8.72350008388371e-05],[0.29064416002990834],[218.40948850892832],[44.721359549995796],[193069.77288832498],[0.03895861568550305],[0.24999999999999997],[0.12515383765378707],[200.0]
44.721359549995796,268269.57952797273,[49052.76000000001],[1.155069191046623],[-32482.371988496514],[8.723502791442854e-05],[0.40390289712003213],[218.3969382258282],[44.721359549995796],[268269.57952797273],[0.05413728664749418],[0.24999999999999997],[0.12515383760645268],[200.0]
44.721359549995796,372759.3720314938,[49052.76000000001],[1.1550723456572416],[-45139.284789854944],[8.723506563470808e-05],[0.5613258771672295],[218.37950115661772],[44.721359549995796],[372759.3720314938],[0.0752321413164249],[0.24999999999999994],[0.12515383754063944],[200.0]
44.721359549995796,517947.46792312124,[49052.76000000001],[1.155076744990692],[-62730.83043041071],[8.723511823790456e-05],[0.7801619880134396],[218.35527531117594],[44.721359549995796],[517947.4679231212],[0.10455138405068452],[0.24999999999999994],[0.12515383744911068],[200.0]
44.721359549995796,719685.6730011514,[49052.76000000001],[1.1550828887486073],[-87183.52394101417],[8.723519169906283e-05],[1.0844225619506107],[218.32161918061755],[44.721359549995796],[719685.6730011548],[0.1453058732350236],[0.24999999999999994],[0.12515383732177435],[200.0]
