Sherwood number,Power number,Membrane area list,cp (TDS) list,Pressure drop list,K (TDS) list,f list,Re list,Sh (TDS) list,Pn list,Telescoping potential list,Inlet velocity list,Outlet velocity list,Number of pressure vessels list
44.721359549995796,1000000.0,[49052.76],[1.1550914850888239],[-121178.45160130599],[8.723529448704831e-05],[1.507556733693403],[218.27486491128343],[44.721359549995796],[1000000.0000000002],[0.20196408600217663],[0.24999999999999994],[0.1251538371445367],[200.0]
44.721359549995796,1389495.494373136,[49052.76000000001],[1.1551035446319076],[-168449.11157988312],[8.723543869208723e-05],[2.0962080465776958],[218.2099208994391],[44.721359549995796],[1389495.4943731362],[0.2807485192998052],[0.24999999999999994],[0.12515383689767767],[200.0]
44.721359549995796,1930697.7288832497,[49052.76],[1.1551205229192114],[-234198.97417688253],[8.723564173986081e-05],[2.9155110664213453],[218.1197218110301],[44.721359549995796],[1930697.7288832492],[0.39033162362813756],[0.24999999999999994],[0.12515383655353143],[200.0]
44.721359549995796,2682695.7952797273,[49052.76],[1.1551445410585766],[-325688.9254701633],[8.723592906116089e-05],[4.056602389441057],[217.99446869949185],[44.721359549995796],[2682695.7952797282],[0.5428148757836055],[0.24999999999999994],[0.12515383607314398],[200.0]
44.721359549995796,3727593.720314938,[49052.76],[1.1551787357286405],[-453067.719833411],[8.723633836638048e-05],[5.647357770905396],[217.82058159020798],[44.721359549995796],[3727593.7203149376],[0.7551128663890183],[0.24999999999999994],[0.12515383540139552],[200.0]
44.721359549995796,5179474.6792312125,[49052.76000000001],[1.1552278282209647],[-630553.8890363774],[8.723692670037681e-05],[7.867914571993356],[217.5792606897606],[44.721359549995796],[5179474.67923121],[1.0509231483939625],[0.24999999999999997],[0.12515383445977105],[200.0]
44.721359549995796,7196856.730011513,[49052.76000000001],[1.1552990717745157],[-878133.6362076608],[8.723778246540648e-05],[10.9734680258239],[217.24452002871095],[44.721359549995796],[7196856.730011515],[1.4635560603461015],[0.24999999999999997],[0.1251538331354305],[200.0]
44.721359549995796,10000000.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan]
55.39182980610754,100000.0,[49052.76],[1.1233687949833886],[-12106.844909343803],[0.00010804921597702637],[0.15053214017515365],[218.41393999151592],[55.39182980610754],[99999.99999999983],[0.02017807484890634],[0.24999999999999994],[0.1251538578617496],[200.0]
55.39182980610754,138949.5494373139,[49052.76],[1.12336957414073],[-16823.15142094243],[0.00010804923396390615],[0.2091787820805135],[218.40720141962973],[55.39182980610754],[138949.5494373141],[0.02803858570157072],[0.24999999999999994],[0.12515385783657262],[200.0]
55.39182980610754,193069.77288832495,[49052.76000000001],[1.1233706582818974],[-23377.131731126356],[0.00010804925899194961],[0.2906820474200016],[218.3978386106026],[55.39182980610754],[193069.772888325],[0.03896188621854393],[0.24999999999999997],[0.12515385780157878],[200.0]
55.39182980610754,268269.57952797273,[49052.76000000001],[1.1233721675972577],[-32485.1976363695],[0.00010804929383659364],[0.4039575575901476],[218.3848298142489],[55.39182980610754],[268269.5795279726],[0.05414199606061583],[0.24999999999999997],[0.12515385775293444],[200.0]
55.39182980610754,372759.3720314938,[49052.76000000001],[1.1233742703931284],[-45143.40236603241],[0.00010804934238499938],[0.5614057268060539],[218.36675566586933],[55.39182980610754],[372759.37203149375],[0.07523900394338734],[0.24999999999999994],[0.12515385768530385],[200.0]
55.39182980610754,517947.46792312124,[49052.76000000001],[1.1233772030429],[-62736.921725901826],[0.00010804941009772689],[0.780280484724478],[218.34164464608227],[55.39182980610754],[517947.4679231211],[0.10456153620983637],[0.24999999999999994],[0.12515385759125508],[200.0]
55.39182980610754,719685.6730011514,[49052.76000000001],[1.1233812988321161],[-87192.70335995997],[0.00010804950467705174],[1.084601829762933],[218.3067586553155],[55.39182980610754],[719685.673001154],[0.14532117226659996],[0.24999999999999994],[0.12515385746042712],[200.0]
55.39182980610754,1000000.0,[49052.76000000001],[1.1233870302014721],[-121192.59157004992],[0.00010804963704761925],[1.5078341763946188],[218.25829566607212],[55.39182980610754],[1000000.0000000044],[0.20198765261674986],[0.24999999999999994],[0.12515385727835726],[200.0]
55.39182980610754,1389495.494373136,[49052.76],[1.123395071604503],[-168471.44315322465],[0.00010804982282017656],[2.0966486381764766],[218.1909777151215],[55.39182980610754],[1389495.4943731362],[0.28078573858870776],[0.24999999999999994],[0.12515385702482118],[200.0]
55.39182980610754,1930697.7288832497,[49052.76],[1.1234063948426414],[-234235.21230625623],[0.00010805008452242627],[2.9162305644453888],[218.09748066685458],[55.39182980610754],[1930697.7288832502],[0.39039202051042704],[0.24999999999999994],[0.12515385667146914],[200.0]
55.39182980610754,2682695.7952797273,[49052.76],[1.1234224168612932],[-325749.40502398304],[0.0001080504550839343],[4.057811842442491],[217.9676462504929],[55.39182980610754],[2682695.7952797273],[0.5429156750399716],[0.24999999999999994],[0.1251538561784286],[200.0]
55.39182980610754,3727593.720314938,[49052.76],[1.1234452344176349],[-453171.4992366987],[0.00010805098343491844],[5.649450134056368],[217.7873957546672],[55.39182980610754],[3727593.7203149386],[0.7552858320611645],[0.24999999999999994],[0.12515385548936542],[200.0]
55.39182980610754,5179474.6792312125,[49052.76000000001],[1.1234780059467018],[-630736.7281318479],[0.00010805174378130495],[7.871635980960045],[217.53723745066716],[55.39182980610754],[5179474.679231212],[1.0512278802197466],[0.24999999999999997],[0.12515385452419459],[200.0]
55.39182980610754,7196856.730011513,[49052.76000000001],[1.1235255877471966],[-878463.7055173968],[0.00010805285147461445],[10.980262774062547],[217.19022599816668],[55.39182980610754],[7196856.730011513],[1.464106175862328],[0.24999999999999997],[0.1251538531681201],[200.0]
55.39182980610754,10000000.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan]
68.60826325815647,100000.0,[49052.76],[1.0984350189803427],[-12107.451027303923],[0.00013382971437530074],[0.15054366717750323],[218.4072045969054],[68.60826325815647],[99999.99999999997],[0.02017908504550654],[0.24999999999999997],[0.12515387373406023],[200.0]
68.60826325815647,138949.5494373139,[49052.76],[1.0984355381319557],[-16824.015229771565],[0.00013382973732759288],[0.20919523778404076],[218.40027217168873],[68.60826325815647],[138949.54943731395],[0.02804002538295261],[0.24999999999999997],[0.12515387370830655],[200.0]
68.60826325815647,193069.77288832495,[49052.76],[1.0984362604959526],[-23378.373735339068],[0.00013382976926614142],[0.2907057608778134],[218.3906400074278],[68.60826325815647],[193069.77288832646],[0.03896395622556511],[0.24999999999999997],[0.12515387367251177],[200.0]
68.60826325815647,268269.57952797273,[49052.76000000001],[1.0984372661576751],[-32487.004053335586],[0.00013382981373431845],[0.403992147308537],[218.37725694917012],[68.60826325815647],[268269.57952797273],[0.05414500675555931],[0.24999999999999994],[0.12515387362275573],[200.0]
68.60826325815647,372759.3720314938,[49052.76000000001],[1.0984386672647828],[-45146.06825917406],[0.00013382987569596092],[0.5614569610107546],[218.35866277711477],[68.60826325815647],[372759.3720314938],[0.07524344709862343],[0.24999999999999994],[0.1251538735535825],[200.0]
68.60826325815647,517947.46792312124,[49052.76000000001],[1.0984406213232167],[-62740.92736678551],[0.00013382996212629703],[0.7803578136763052],[218.33282920910312],[68.60826325815647],[517947.46792312135],[0.10456821227797584],[0.24999999999999994],[0.1251538734573943],[200.0]
68.60826325815647,719685.6730011514,[49052.76000000001],[1.0984433504214697],[-87198.85223078691],[0.0001338300828682867],[1.0847211718808953],[218.296939284009],[68.60826325815647],[719685.6730011534],[0.14533142038464483],[0.24999999999999994],[0.12515387332360148],[200.0]
68.60826325815647,1000000.0,[49052.76000000001],[1.0984471693860154],[-121202.2641841466],[0.00013383025189090124],[1.5080230751935166],[218.24708141607],[68.60826325815647],[1000000.0000000035],[0.20200377364024433],[0.24999999999999994],[0.1251538731374269],[200.0]
68.60826325815647,1389495.494373136,[49052.76],[1.0984525276795933],[-168487.07086977464],[0.00013383048917046356],[2.0969559565649174],[218.17782544919032],[68.60826325815647],[1389495.494373136],[0.28081178478295776],[0.24999999999999994],[0.1251538728782165],[200.0]
68.60826325815647,1930697.7288832497,[49052.76],[1.0984600729513774],[-234261.1730812182],[0.0001338308235639264],[2.9167449637671377],[218.0816358500544],[68.60826325815647],[1930697.7288832497],[0.390435288468697],[0.24999999999999994],[0.1251538725170358],[200.0]
68.60826325815647,2682695.7952797273,[49052.76],[1.0984707495603836],[-325793.73592160153],[0.0001338312973082472],[4.058697475289166],[217.94806075524147],[68.60826325815647],[2682695.7952797273],[0.5429895598693358],[0.24999999999999994],[0.12515387201322542],[200.0]
68.60826325815647,3727593.720314938,[49052.76],[1.0984859550031834],[-453249.20529315306],[0.0001338319732688657],[5.65101652798745],[217.76261378886107],[68.60826325815647],[3727593.7203149376],[0.7554153421552551],[0.24999999999999997],[0.12515387130940522],[200.0]
68.60826325815647,5179474.6792312125,[49052.76000000001],[1.098507794423347],[-630876.2456420391],[0.000133832946983822],[7.874476950101959],[217.50523732857485],[68.60826325815647],[5179474.679231213],[1.0514604094033986],[0.24999999999999994],[0.1251538703241292],[200.0]
68.60826325815647,7196856.730011513,[49052.76000000001],[1.098539504475188],[-878719.6821063396],[0.00013383436733804658],[10.98553756744403],[217.14820083184645],[68.60826325815647],[7196856.730011515],[1.464532803510566],[0.24999999999999994],[0.12515386894088604],[200.0]
68.60826325815647,10000000.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan]
84.97812409839364,100000.0,[49052.76],[1.0787219785847975],[-12107.821112829746],[0.0001657614061304226],[0.15055057682866638],[218.40325180400242],[84.97812409839364],[100000.0],[0.020179701854716244],[0.24999999999999997],[0.12515388629702873],[200.0]
84.97812409839364,138949.5494373139,[49052.76],[1.0787223248887723],[-16824.547013870586],[0.00016576143523158973],[0.2092051947716964],[218.39616164067192],[84.97812409839364],[138949.54943731398],[0.02804091168978431],[0.24999999999999997],[0.1251538862707909],[200.0]
84.97812409839364,193069.77288832495,[49052.76],[1.0787228067406247],[-23379.14655306386],[0.00016576147572779678],[0.2907202841658036],[218.38631030112464],[84.97812409839364],[193069.77288832597],[0.038965244255106425],[0.24999999999999994],[0.12515388623432397],[200.0]
84.97812409839364,268269.57952797273,[49052.76000000001],[1.0787234775533276],[-32488.14339259894],[0.00016576153211350688],[0.4040136576267519],[218.37262270194464],[84.97812409839364],[268269.5795279727],[0.05414690565433157],[0.24999999999999994],[0.1251538861836348],[200.0]
84.97812409839364,372759.3720314938,[49052.76000000001],[1.0787244121182817],[-45147.77798522247],[0.0001657616106861064],[0.5614894226007981],[218.3536053758116],[84.97812409839364],[372759.3720314939],[0.07524629664203744],[0.24999999999999994],[0.1251538861131664],[200.0]
84.97812409839364,517947.46792312124,[49052.76000000001],[1.0787257154656793],[-62743.54784800283],[0.0001657617202970181],[0.7804078995303287],[218.32718384517608],[84.97812409839364],[517947.4679231212],[0.10457257974667139],[0.24999999999999994],[0.12515388601518188],[200.0]
84.97812409839364,719685.6730011514,[49052.76000000001],[1.0787275356709265],[-87202.96703010373],[0.00016576187344113363],[1.0848004163002138],[218.2904769642966],[84.97812409839364],[719685.6730011527],[0.14533827838350624],[0.24999999999999994],[0.12515388587889906],[200.0]
84.97812409839364,1000000.0,[49052.76000000001],[1.07873008260207],[-121208.8987681156],[0.00016576208785938775],[1.5081519091664208],[218.23948397034098],[84.97812409839364],[1000000.0000000023],[0.20201483128019265],[0.24999999999999994],[0.12515388568927627],[200.0]
84.97812409839364,1389495.494373136,[49052.76],[1.0787336558018574],[-168498.06723868297],[0.0001657623889382234],[2.097171370473123],[218.1686508101105],[84.97812409839364],[1389495.4943731357],[0.28083011206447156],[0.24999999999999994],[0.12515388542529693],[200.0]
84.97812409839364,1930697.7288832497,[49052.76],[1.0787386867482873],[-234279.90350898507],[0.00016576281338035617],[2.9171152297367042],[218.0702698234726],[84.97812409839364],[1930697.7288832502],[0.39046650584830844],[0.24999999999999994],[0.1251538850575332],[200.0]
84.97812409839364,2682695.7952797273,[49052.76],[1.078745804315652],[-325826.4757588544],[0.00016576341496428077],[4.059350762172153],[217.93365003248647],[84.97812409839364],[2682695.7952797273],[0.5430441262647574],[0.24999999999999994],[0.12515388454465898],[200.0]
84.97812409839364,3727593.720314938,[49052.76],[1.0787559386019323],[-453307.798194161],[0.00016576427384342232],[5.652197212721388],[217.7439729230247],[84.97812409839364],[3727593.7203149367],[0.7555129969902683],[0.24999999999999994],[0.1251538838284052],[200.0]
84.97812409839364,5179474.6792312125,[49052.76000000001],[1.0787704896529278],[-630983.3302093957],[0.00016576551203519344],[7.876658038556718],[217.4807195932924],[84.97812409839364],[5179474.679231212],[1.051638883682326],[0.24999999999999997],[0.12515388282616172],[200.0]
84.97812409839364,7196856.730011513,[49052.76000000001],[1.078791608053607],[-878919.0625631664],[0.00016576732007778853],[10.989649140515041],[217.1155190248068],[84.97812409839364],[7196856.730011512],[1.464865104271944],[0.24999999999999997],[0.125153881419936],[200.0]
84.97812409839364,10000000.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan]
105.25381684870872,100000.0,[49052.76],[1.0630734257663157],[-12108.040418985785],[0.00020531196086434915],[0.15055455732064257],[218.40105016387685],[105.25381684870871],[100000.00000000001],[0.02018006736497631],[0.24999999999999994],[0.12515389627896584],[200.0]
105.25381684870872,138949.5494373139,[49052.76],[1.0630736573262016],[-16824.865966307472],[0.00020531199757948908],[0.20921101392270192],[218.39383192921227],[105.25381684870871],[138949.5494373139],[0.028041443277179123],[0.24999999999999997],[0.12515389625232512],[200.0]
105.25381684870872,193069.77288832495,[49052.76],[1.0630739795120863],[-23379.617220670792],[0.00020531204867247336],[0.2907289269692457],[218.3838026350237],[105.25381684870871],[193069.77288832574],[0.03896602870111798],[0.24999999999999997],[0.12515389621529874],[200.0]
105.25381684870872,268269.57952797273,[49052.76000000001],[1.0630744280265052],[-32488.850489488013],[0.00020531211981557662],[0.4040267438606306],[218.3698677684829],[105.25381684870874],[268269.57952797273],[0.05414808414914669],[0.24999999999999997],[0.12515389616383277],[200.0]
105.25381684870872,372759.3720314938,[49052.76000000001],[1.0630750528536836],[-45148.86313789016],[0.00020531221895769223],[0.56150968935826],[218.3505068651113],[105.25381684870874],[372759.37203149375],[0.07524810522981695],[0.24999999999999994],[0.12515389609228647],[200.0]
105.25381684870872,517947.46792312124,[49052.76000000001],[1.0630759241711847],[-62745.25414055099],[0.00020531235727390661],[0.7804400933004048],[218.32360793479094],[105.25381684870871],[517947.4679231212],[0.10457542356758498],[0.24999999999999994],[0.12515389599280635],[200.0]
105.25381684870872,719685.6730011514,[49052.76000000001],[1.0630771408877957],[-87205.721927824],[0.00020531255054377228],[1.0848529648178906],[218.2862377079945],[105.25381684870871],[719685.6730011525],[0.14534286987970665],[0.24999999999999994],[0.12515389585445014],[200.0]
105.25381684870872,1000000.0,[49052.76000000001],[1.063078843129867],[-121213.47027880064],[0.00020531282118062288],[1.5082400911255625],[218.23432299573142],[105.25381684870871],[1000000.0000000021],[0.20202245046466774],[0.24999999999999994],[0.12515389566195542],[200.0]
105.25381684870872,1389495.494373136,[49052.76],[1.0630812307886421],[-168505.86085826115],[0.00020531320127342804],[2.097323387107791],[218.16220910842316],[105.25381684870874],[1389495.4943731362],[0.2808431014304352],[0.24999999999999994],[0.1251538953940027],[200.0]
105.25381684870872,1930697.7288832497,[49052.76],[1.0630845915899525],[-234293.53169145988],[0.00020531373724666673],[2.9173839488837032],[218.0620485516033],[105.25381684870874],[1930697.72888325],[0.3904892194857665],[0.24999999999999994],[0.12515389502075144],[200.0]
105.25381684870872,2682695.7952797273,[49052.76],[1.0630893444963996],[-325850.8588040139],[0.00020531449718341706],[4.059836664855376],[217.92295604861016],[105.25381684870874],[2682695.7952797273],[0.5430847646733564],[0.24999999999999994],[0.1251538945003164],[200.0]
105.25381684870872,3727593.720314938,[49052.76000000001],[1.0630961084061892],[-453352.31011699996],[0.0002053155826702427],[5.653093741432696],[217.7298431131522],[105.25381684870871],[3727593.7203149414],[0.7555871835283332],[0.24999999999999994],[0.12515389377368055],[200.0]
105.25381684870872,5179474.6792312125,[49052.76000000001],[1.0631058135331997],[-631066.0206937562],[0.00020531714856518652],[7.878342458092342],[217.46181573974445],[105.25381684870874],[5179474.679231213],[1.0517767011562602],[0.24999999999999997],[0.12515389275724934],[200.0]
105.25381684870872,7196856.730011513,[49052.76000000001],[1.0631198861507243],[-879075.0581595773],[0.000205319437089943],[10.992867784686956],[217.0899817799076],[105.25381684870871],[7196856.730011513],[1.4651250969326288],[0.24999999999999997],[0.12515389133176738],[200.0]
105.25381684870872,10000000.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan]
130.3672689737678,100000.0,[49052.76],[1.0506107376255673],[-12108.164794452608],[0.00025429923246286595],[0.15055671147754515],[218.39992864896504],[130.3672689737678],[100000.0],[0.020180274657421015],[0.24999999999999997],[0.12515390423474684],[200.0]
130.3672689737678,138949.5494373139,[49052.76],[1.0506108930109197],[-16825.050303080054],[0.00025429927860637586],[0.20921424024074767],[218.39260658985012],[130.3672689737678],[138949.54943731392],[0.02804175050513342],[0.25],[0.12515390420777306],[200.0]
130.3672689737678,193069.77288832495,[49052.76],[1.0506111091997603],[-23379.895605771468],[0.00025429934282139555],[0.29073386047291544],[218.38243303127442],[130.3672689737678],[193069.77288832565],[0.03896649267628578],[0.24999999999999997],[0.125153904170284],[200.0]
130.3672689737678,268269.57952797273,[49052.76000000001],[1.0506114101366817],[-32489.280297064353],[0.0002542994322387662],[0.4040344700301379],[218.3682977085128],[130.3672689737678],[268269.5795279727],[0.05414880049510725],[0.24999999999999997],[0.12515390411817578],[200.0]
130.3672689737678,372759.3720314938,[49052.76000000001],[1.0506118293360558],[-45149.54345282859],[0.00025429955685261256],[0.5615221099056548],[218.34865826922885],[130.3672689737678],[372759.3720314938],[0.07524923908804766],[0.24999999999999994],[0.12515390404573795],[200.0]
130.3672689737678,517947.46792312124,[49052.76000000001],[1.050612413835532],[-62746.36012517974],[0.00025429973071575926],[0.7804606137220612],[218.32137230894378],[130.3672689737678],[517947.4679231213],[0.10457726687529956],[0.24999999999999994],[0.12515390394502104],[200.0]
130.3672689737678,719685.6730011514,[49052.76000000001],[1.0506132298990252],[-87207.56960586942],[0.00025429997367584474],[1.084887799617496],[218.2834642950651],[130.3672689737678],[719685.673001152],[0.14534594934311568],[0.24999999999999994],[0.1251539038049498],[200.0]
130.3672689737678,1000000.0,[49052.76000000001],[1.0506143713443292],[-121216.63971773484],[0.0002543003139334072],[1.508300762861274],[218.23080230960528],[130.3672689737678],[1000000.000000001],[0.20202773286289138],[0.24999999999999994],[0.12515390361007886],[200.0]
130.3672689737678,1389495.494373136,[49052.76000000001],[1.0506159718892953],[-168511.4321256684],[0.00025430079187987255],[2.097431549153129],[218.157650050498],[130.3672689737678],[1389495.4943731378],[0.28085238687611397],[0.24999999999999994],[0.12515390333883789],[200.0]
130.3672689737678,1930697.7288832497,[49052.76],[1.050618223793033],[-234303.53987995788],[0.0002543014659835554],[2.917580767070228],[218.0560466065815],[130.3672689737678],[1930697.7288832488],[0.39050589979992983],[0.24999999999999994],[0.1251539029610431],[200.0]
130.3672689737678,2682695.7952797273,[49052.76],[1.050621406600124],[-325869.1774121871],[0.0002543024220515574],[4.060201228864868],[217.9149490787037],[130.3672689737678],[2682695.795279727],[0.5431152956869786],[0.24999999999999994],[0.12515390243434432],[200.0]
130.3672689737678,3727593.720314938,[49052.76000000001],[1.0506259324947098],[-453386.3786627218],[0.00025430378823232863],[5.653779578492093],[217.7190499097488],[130.3672689737678],[3727593.7203149386],[0.7556439644378696],[0.24999999999999994],[0.12515390169910035],[200.0]
130.3672689737678,5179474.6792312125,[49052.76000000001],[1.0506324195726175],[-631130.2529542268],[0.00025430576009309797],[7.879650910539386],[217.4471506006517],[130.3672689737678],[5179474.679231213],[1.0518837549237112],[0.24999999999999994],[0.12515390067089166],[200.0]
130.3672689737678,7196856.730011513,[49052.76],[1.0506418128997703],[-879197.6401912139],[0.00025430864394187104],[10.995398019643144],[217.06993575630517],[130.3672689737678],[7196856.730011514],[1.46532940031869],[0.24999999999999997],[0.12515389922939768],[200.0]
130.3672689737678,10000000.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan]
161.47276486997293,100000.0,[49052.76],[1.040659133466212],[-12108.230431074202],[0.00031497481269972553],[0.15055775107390645],[218.39945628617608],[161.47276486997293],[100000.0],[0.02018038405179034],[0.24999999999999997],[0.12515391059149142],[200.0]
161.47276486997293,138949.5494373139,[49052.76],[1.0406592382207114],[-16825.150820554274],[0.00031497487051891735],[0.20921587314658727],[218.39205015062976],[161.47276486997293],[138949.54943731386],[0.02804191803425712],[0.24999999999999997],[0.12515391056424358],[200.0]
161.47276486997293,193069.77288832495,[49052.76],[1.0406593839573324],[-23380.053270797795],[0.0003149749509837451],[0.29073649348684316],[218.38175976711696],[161.47276486997293],[193069.77288832556],[0.03896675545132965],[0.24999999999999997],[0.125153910526374],[200.0]
161.47276486997293,268269.57952797273,[49052.76000000001],[1.0406595868064974],[-32489.534146277776],[0.00031497506303134365],[0.40403883255403755],[218.36746211448207],[161.47276486997293],[268269.57952797273],[0.054149223577129625],[0.24999999999999997],[0.12515391047373736],[200.0]
161.47276486997293,372759.3720314938,[49052.76000000001],[1.040659869337565],[-45149.963390941906],[0.00031497521918870457],[0.5615295334352681],[218.34759711442865],[161.47276486997293],[372759.3720314939],[0.07524993898490318],[0.24999999999999994],[0.1251539104005661],[200.0]
161.47276486997293,517947.46792312124,[49052.76000000001],[1.0406602632118063],[-62747.07360742657],[0.00031497543707260174],[0.7804735651620139],[218.31999773049446],[161.47276486997293],[517947.4679231212],[0.10457845601237763],[0.24999999999999994],[0.1251539102988314],[200.0]
161.47276486997293,719685.6730011514,[49052.76000000001],[1.0406608130030859],[-87208.81249435675],[0.0003149757415689816],[1.0849109052313748],[218.28165420052406],[161.47276486997293],[719685.6730011518],[0.14534802082392792],[0.24999999999999994],[0.12515391015734872],[200.0]
161.47276486997293,1000000.0,[49052.76000000001],[1.0406615817651461],[-121218.8537866828],[0.00031497616804612944],[1.508342785448472],[218.22838703794469],[161.47276486997293],[1000000.0000000003],[0.20203142297780463],[0.24999999999999994],[0.12515390996052206],[200.0]
161.47276486997293,1389495.494373136,[49052.76000000001],[1.0406626592636363],[-168515.45299528545],[0.00031497676717909544],[2.0975092278982923],[218.15439383146355],[161.47276486997293],[1389495.4943731367],[0.2808590883254758],[0.24999999999999994],[0.12515390968657378],[200.0]
161.47276486997293,1930697.7288832497,[49052.76],[1.04066417436542],[-234310.96112137087],[0.0003149776123551533],[2.917726322786449],[218.0516217870013],[161.47276486997293],[1930697.7288832506],[0.3905182685356181],[0.24999999999999994],[0.12515390930503692],[200.0]
161.47276486997293,2682695.7952797273,[49052.76],[1.040666314069733],[-325883.05990948563],[0.000314978811338779],[4.060477146834932],[217.90890028852675],[161.47276486997293],[2682695.7952797273],[0.543138433182476],[0.24999999999999994],[0.12515390877317686],[200.0]
161.47276486997293,3727593.720314938,[49052.76],[1.0406693534051383],[-453412.6416985929],[0.00031498052518886974],[5.654308011184748],[217.71074423149815],[161.47276486997293],[3727593.7203149386],[0.7556877361643215],[0.24999999999999994],[0.12515390803083498],[200.0]
161.47276486997293,5179474.6792312125,[49052.76],[1.040673703492889],[-631180.4246528484],[0.0003149829999200246],[7.880672909689446],[217.43570826006498],[161.47276486997293],[5179474.679231215],[1.051967374421414],[0.24999999999999994],[0.12515390699290527],[200.0]
161.47276486997293,7196856.730011513,[49052.76000000001],[1.0406799905237996],[-879294.3541400259],[0.0003149866212729007],[10.997394898168189],[217.0541336995013],[161.47276486997293],[7196856.7300115125],[1.4654905902333764],[0.24999999999999997],[0.12515390553817674],[200.0]
161.47276486997293,10000000.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan]
200.00000000000003,100000.0,[49052.76000000001],[1.0326957490782718],[-12108.260531845819],[0.0003901275206724315],[0.15055812988439476],[218.39936002116053],[200.00000000000003],[99999.99999999999],[0.02018043421974303],[0.24999999999999994],[0.1251539156808171],[200.0]
200.00000000000003,138949.5494373139,[49052.76000000001],[1.0326958201042156],[-16825.200175730675],[0.00039012759295097346],[0.20921655167415884],[218.39188585395615],[200.00000000000003],[138949.5494373139],[0.02804200029288446],[0.24999999999999997],[0.12515391565334466],[200.0]
200.00000000000003,193069.77288832495,[49052.76000000001],[1.0326959189091425],[-23380.13639707973],[0.00039012769353986387],[0.2907377304008365],[218.38150093953072],[200.00000000000003],[193069.77288832545],[0.03896689399513288],[0.24999999999999994],[0.12515391561516329],[200.0]
200.00000000000003,268269.57952797273,[49052.76],[1.032696056419498],[-32489.677760223603],[0.0003901278336132371],[0.40404111988260505],[218.36707193424616],[200.00000000000003],[268269.5795279727],[0.05414946293370601],[0.24999999999999994],[0.12515391556209357],[200.0]
200.00000000000003,372759.3720314938,[49052.76],[1.0326962479166437],[-45150.21727770965],[0.0003901280288349406],[0.5615338117423183],[218.34702441570388],[200.00000000000003],[372759.37203149375],[0.07525036212951608],[0.24999999999999994],[0.1251539154883212],[200.0]
200.00000000000003,517947.46792312124,[49052.76],[1.0326965148250618],[-62747.531457921155],[0.00039012830123563204],[0.7804816396708136],[218.319171414339],[200.00000000000003],[517947.4679231212],[0.10457921909653527],[0.24999999999999994],[0.1251539153857524],[200.0]
200.00000000000003,719685.6730011514,[49052.76],[1.0326968872822322],[-87209.65200214587],[0.0003901286819412396],[1.0849262526637753],[218.2804754671246],[200.00000000000003],[719685.6730011515],[0.14534942000357645],[0.24999999999999994],[0.12515391524311292],[200.0]
200.00000000000003,1000000.0,[49052.76000000001],[1.0326974078731845],[-121220.41406940931],[0.00039012921519761463],[1.5083721232640905],[218.2267185897466],[200.00000000000003],[1000000.0],[0.2020340234490155],[0.24999999999999994],[0.1251539150446829],[200.0]
200.00000000000003,1389495.494373136,[49052.76000000001],[1.0326981371337332],[-168518.38459844852],[0.00039012996441702087],[2.097565578155285],[218.1520448641228],[200.00000000000003],[1389495.494373136],[0.2808639743307475],[0.24999999999999994],[0.12515391476851473],[200.0]
200.00000000000003,1930697.7288832497,[49052.76000000001],[1.0326991617982744],[-234316.51776320842],[0.00039013102146618554],[2.917835024453867],[218.04832712140845],[200.00000000000003],[1930697.72888325],[0.39052752960534737],[0.24999999999999994],[0.12515391438390872],[200.0]
200.00000000000003,2682695.7952797273,[49052.76000000001],[1.032700607406107],[-325893.6685243631],[0.0003901325213090383],[4.060687733854596],[217.90429135047285],[200.00000000000003],[2682695.7952797264],[0.5431561142072718],[0.24999999999999994],[0.12515391384781369],[200.0]
200.00000000000003,3727593.720314938,[49052.76],[1.0327026579912753],[-453433.02282993536],[0.0003901346657754355],[5.654717894116617],[217.7043086828479],[200.00000000000003],[3727593.7203149395],[0.755721704716559],[0.24999999999999997],[0.1251539130996442],[200.0]
200.00000000000003,5179474.6792312125,[49052.76],[1.0327055875308826],[-631219.8117243012],[0.0003901377633832246],[7.881475178351149],[217.42673382441237],[200.00000000000003],[5179474.679231215],[1.0520330195405019],[0.24999999999999994],[0.12515391205372706],[200.0]
200.00000000000003,7196856.730011513,[49052.76],[1.0327098112449766],[-879370.935591846],[0.00039014229830158954],[10.998976444491062],[217.04162996476524],[200.00000000000003],[7196856.730011514],[1.4656182259864101],[0.24999999999999994],[0.12515391058811134],[200.0]
200.00000000000003,10000000.0,[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan],[nan]
