# modules_per_pv,n_pv,specific_energy_consumption,sh_multiplier,friction_factor_multiplier,LCOW,operating_pressure,water_recovery,n_pv,modules_per_pv,channel_height,spacer_porosity,velocity
7.000000e+00,1.600000e+02,3.546253e+00,1.000000e+00,1.000000e+00,9.251122e-01,7.555837e+06,5.000000e-01,1.600000e+02,7.000000e+00,7.112000e-04,8.500000e-01,2.250000e-01
7.000000e+00,1.700000e+02,3.450392e+00,1.000000e+00,1.000000e+00,9.052640e-01,7.359007e+06,5.000000e-01,1.700000e+02,7.000000e+00,7.112000e-04,8.500000e-01,2.117647e-01
7.000000e+00,1.800000e+02,3.365939e+00,1.000000e+00,1.000000e+00,8.881406e-01,7.185393e+06,5.000000e-01,1.800000e+02,7.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
7.000000e+00,1.900000e+02,3.291053e+00,1.000000e+00,1.000000e+00,8.733040e-01,7.031281e+06,5.000000e-01,1.900000e+02,7.000000e+00,7.112000e-04,8.500000e-01,1.894737e-01
7.000000e+00,2.000000e+02,3.224268e+00,1.000000e+00,1.000000e+00,8.604046e-01,6.893707e+06,5.000000e-01,2.000000e+02,7.000000e+00,7.112000e-04,8.500000e-01,1.800000e-01
7.000000e+00,2.100000e+02,3.164400e+00,1.000000e+00,1.000000e+00,8.491602e-01,6.770273e+06,5.000000e-01,2.100000e+02,7.000000e+00,7.112000e-04,8.500000e-01,1.714286e-01
8.000000e+00,1.500000e+02,3.458285e+00,1.000000e+00,1.000000e+00,9.066442e-01,7.353277e+06,5.000000e-01,1.500000e+02,8.000000e+00,7.112000e-04,8.500000e-01,2.400000e-01
8.000000e+00,1.600000e+02,3.361512e+00,1.000000e+00,1.000000e+00,8.871181e-01,7.156730e+06,5.000000e-01,1.600000e+02,8.000000e+00,7.112000e-04,8.500000e-01,2.250000e-01
8.000000e+00,1.700000e+02,3.277113e+00,1.000000e+00,1.000000e+00,8.705330e-01,6.985032e+06,5.000000e-01,1.700000e+02,8.000000e+00,7.112000e-04,8.500000e-01,2.117647e-01
8.000000e+00,1.800000e+02,3.202962e+00,1.000000e+00,1.000000e+00,8.563859e-01,6.833963e+06,5.000000e-01,1.800000e+02,8.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
8.000000e+00,1.900000e+02,3.137391e+00,1.000000e+00,1.000000e+00,8.442818e-01,6.700202e+06,5.000000e-01,1.900000e+02,8.000000e+00,7.112000e-04,8.500000e-01,1.894737e-01
8.000000e+00,2.000000e+02,3.079074e+00,1.000000e+00,1.000000e+00,8.339055e-01,6.581095e+06,5.000000e-01,2.000000e+02,8.000000e+00,7.112000e-04,8.500000e-01,1.800000e-01
8.000000e+00,2.100000e+02,3.026940e+00,1.000000e+00,1.000000e+00,8.250030e-01,6.474502e+06,5.000000e-01,2.100000e+02,8.000000e+00,7.112000e-04,8.500000e-01,1.714286e-01
9.000000e+00,1.500000e+02,3.309463e+00,1.000000e+00,1.000000e+00,8.768801e-01,7.029488e+06,5.000000e-01,1.500000e+02,9.000000e+00,7.112000e-04,8.500000e-01,2.400000e-01
9.000000e+00,1.600000e+02,3.222549e+00,1.000000e+00,1.000000e+00,8.602351e-01,6.854827e+06,5.000000e-01,1.600000e+02,9.000000e+00,7.112000e-04,8.500000e-01,2.250000e-01
9.000000e+00,1.700000e+02,3.146971e+00,1.000000e+00,1.000000e+00,8.462722e-01,6.702653e+06,5.000000e-01,1.700000e+02,9.000000e+00,7.112000e-04,8.500000e-01,2.117647e-01
9.000000e+00,1.800000e+02,3.080762e+00,1.000000e+00,1.000000e+00,8.345287e-01,6.569116e+06,5.000000e-01,1.800000e+02,9.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
9.000000e+00,1.900000e+02,3.022383e+00,1.000000e+00,1.000000e+00,8.246412e-01,6.451191e+06,5.000000e-01,1.900000e+02,9.000000e+00,7.112000e-04,8.500000e-01,1.894737e-01
9.000000e+00,2.000000e+02,2.970607e+00,1.000000e+00,1.000000e+00,8.163202e-01,6.346458e+06,5.000000e-01,2.000000e+02,9.000000e+00,7.112000e-04,8.500000e-01,1.800000e-01
9.000000e+00,2.100000e+02,2.924446e+00,1.000000e+00,1.000000e+00,8.093325e-01,6.252968e+06,5.000000e-01,2.100000e+02,9.000000e+00,7.112000e-04,8.500000e-01,1.714286e-01
