strategy,LCOW,pct_savings,correlation
simulation,1.01512004866055,0.0,guillen
spacer,0.9478491762517102,6.62688836631724,guillen
module,0.8965353988492617,11.681835066479152,guillen
system,0.8301547016857755,18.221031809866833,guillen
spacer_module,0.8232615991156307,18.900074902281403,guillen
spacer_system,0.7897335550963622,22.202939825844748,guillen
module_system,0.8181178005146192,19.406793157703376,guillen
spacer_module_system,0.780735787909688,23.089314516064565,guillen
simulation,1.049660847943007,0.0,schock
spacer,0.9660944568229256,7.961275423756563,schock
module,0.8969525032942309,14.54835101719137,schock
system,0.8486720195411829,19.147978015536797,schock
spacer_module,0.8305547071159218,20.873993848247434,schock
spacer_system,0.8021029340652001,23.584562038580337,schock
module_system,0.8289005833089149,21.031580349663436,schock
spacer_module_system,0.7875825539044788,24.96790220880546,schock
simulation,0.9347924626706419,0.0,dacosta
spacer,0.9117336576010852,2.4667298882234445,dacosta
module,0.8387538232369401,10.273792661884062,dacosta
system,0.789098935325229,15.585654908810007,dacosta
spacer_module,0.8058994703105709,13.788407321110832,dacosta
spacer_system,0.7742064826825168,17.178784211560853,dacosta
module_system,0.782700816446716,16.27009762032204,dacosta
spacer_module_system,0.7704938644377994,17.575943837143477,dacosta
simulation,0.986117691287564,0.0,koustou
spacer,0.9314542930329128,5.543293537638262,koustou
module,0.892886129978064,9.45440510125809,koustou
system,0.8192633587693753,16.920326447072323,koustou
spacer_module,0.8184673621636771,17.00104669098752,koustou
spacer_system,0.7838728525711177,20.50919890225042,koustou
module_system,0.8071878430077698,18.144877620658775,koustou
spacer_module_system,0.776840104930522,21.222374185761776,koustou
simulation,0.9660967528889433,0.0,kuroda
spacer,0.9258565658351616,4.165233651127632,kuroda
module,0.8624688761039245,10.726449134120127,kuroda
system,0.8047137563687616,16.704641231594458,kuroda
spacer_module,0.8131930507880053,15.826955389685992,kuroda
spacer_system,0.7805635680450643,19.204410354250175,kuroda
module_system,0.7951193472251971,17.697751819625537,kuroda
spacer_module_system,0.7757511083571568,19.70254469467899,kuroda
