# sh_multiplier,friction_factor_multiplier,specific_energy_consumption,sh_multiplier,friction_factor_multiplier,LCOW,operating_pressure,water_recovery,n_pv,modules_per_pv,channel_height,spacer_porosity,velocity
7.000000e-01,1.200000e+00,3.653835e+00,7.000000e-01,1.200000e+00,9.498375e-01,7.793413e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
7.000000e-01,1.300000e+00,3.658702e+00,7.000000e-01,1.300000e+00,9.508366e-01,7.799576e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
7.000000e-01,1.400000e+00,3.663567e+00,7.000000e-01,1.400000e+00,9.518353e-01,7.805737e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
7.000000e-01,1.500000e+00,3.668429e+00,7.000000e-01,1.500000e+00,9.528336e-01,7.811894e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
8.000000e-01,5.000000e-01,3.597088e+00,8.000000e-01,5.000000e-01,9.373451e-01,7.702261e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
8.000000e-01,6.000000e-01,3.601973e+00,8.000000e-01,6.000000e-01,9.383482e-01,7.708450e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
8.000000e-01,7.000000e-01,3.606857e+00,8.000000e-01,7.000000e-01,9.393509e-01,7.714638e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
8.000000e-01,8.000000e-01,3.611739e+00,8.000000e-01,8.000000e-01,9.403532e-01,7.720822e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
8.000000e-01,9.000000e-01,3.616618e+00,8.000000e-01,9.000000e-01,9.413551e-01,7.727004e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
8.000000e-01,1.000000e+00,3.621496e+00,8.000000e-01,1.000000e+00,9.423565e-01,7.733183e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
8.000000e-01,1.100000e+00,3.626371e+00,8.000000e-01,1.100000e+00,9.433575e-01,7.739360e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
8.000000e-01,1.200000e+00,3.631244e+00,8.000000e-01,1.200000e+00,9.443581e-01,7.745534e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
8.000000e-01,1.300000e+00,3.636115e+00,8.000000e-01,1.300000e+00,9.453582e-01,7.751705e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
8.000000e-01,1.400000e+00,3.640984e+00,8.000000e-01,1.400000e+00,9.463580e-01,7.757874e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
8.000000e-01,1.500000e+00,3.645851e+00,8.000000e-01,1.500000e+00,9.473572e-01,7.764040e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
9.000000e-01,5.000000e-01,3.579679e+00,9.000000e-01,5.000000e-01,9.331229e-01,7.665370e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
9.000000e-01,6.000000e-01,3.584569e+00,9.000000e-01,6.000000e-01,9.341269e-01,7.671567e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
9.000000e-01,7.000000e-01,3.589456e+00,9.000000e-01,7.000000e-01,9.351305e-01,7.677761e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
9.000000e-01,8.000000e-01,3.594341e+00,9.000000e-01,8.000000e-01,9.361336e-01,7.683952e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
9.000000e-01,9.000000e-01,3.599224e+00,9.000000e-01,9.000000e-01,9.371363e-01,7.690141e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
9.000000e-01,1.000000e+00,3.604105e+00,9.000000e-01,1.000000e+00,9.381386e-01,7.696327e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
9.000000e-01,1.100000e+00,3.608984e+00,9.000000e-01,1.100000e+00,9.391404e-01,7.702511e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
9.000000e-01,1.200000e+00,3.613860e+00,9.000000e-01,1.200000e+00,9.401418e-01,7.708691e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
9.000000e-01,1.300000e+00,3.618735e+00,9.000000e-01,1.300000e+00,9.411427e-01,7.714870e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
9.000000e-01,1.400000e+00,3.623607e+00,9.000000e-01,1.400000e+00,9.421433e-01,7.721045e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
9.000000e-01,1.500000e+00,3.628478e+00,9.000000e-01,1.500000e+00,9.431433e-01,7.727218e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.000000e+00,5.000000e-01,3.565869e+00,1.000000e+00,5.000000e-01,9.297734e-01,7.636104e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.000000e+00,6.000000e-01,3.570761e+00,1.000000e+00,6.000000e-01,9.307781e-01,7.642306e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.000000e+00,7.000000e-01,3.575651e+00,1.000000e+00,7.000000e-01,9.317823e-01,7.648506e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.000000e+00,8.000000e-01,3.580539e+00,1.000000e+00,8.000000e-01,9.327862e-01,7.654703e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.000000e+00,9.000000e-01,3.585425e+00,1.000000e+00,9.000000e-01,9.337895e-01,7.660897e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.000000e+00,1.000000e+00,3.590309e+00,1.000000e+00,1.000000e+00,9.347925e-01,7.667089e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.000000e+00,1.100000e+00,3.595191e+00,1.000000e+00,1.100000e+00,9.357950e-01,7.673278e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.000000e+00,1.200000e+00,3.600070e+00,1.000000e+00,1.200000e+00,9.367970e-01,7.679464e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.000000e+00,1.300000e+00,3.604947e+00,1.000000e+00,1.300000e+00,9.377986e-01,7.685648e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.000000e+00,1.400000e+00,3.609823e+00,1.000000e+00,1.400000e+00,9.387998e-01,7.691829e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.000000e+00,1.500000e+00,3.614696e+00,1.000000e+00,1.500000e+00,9.398005e-01,7.698007e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.100000e+00,5.000000e-01,3.554645e+00,1.100000e+00,5.000000e-01,9.270513e-01,7.612320e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.100000e+00,6.000000e-01,3.559540e+00,1.100000e+00,6.000000e-01,9.280566e-01,7.618527e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.100000e+00,7.000000e-01,3.564433e+00,1.100000e+00,7.000000e-01,9.290614e-01,7.624732e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.100000e+00,8.000000e-01,3.569323e+00,1.100000e+00,8.000000e-01,9.300658e-01,7.630933e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.100000e+00,9.000000e-01,3.574212e+00,1.100000e+00,9.000000e-01,9.310697e-01,7.637132e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.100000e+00,1.000000e+00,3.579098e+00,1.100000e+00,1.000000e+00,9.320732e-01,7.643328e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.100000e+00,1.100000e+00,3.583982e+00,1.100000e+00,1.100000e+00,9.330763e-01,7.649522e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.100000e+00,1.200000e+00,3.588864e+00,1.100000e+00,1.200000e+00,9.340789e-01,7.655713e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.100000e+00,1.300000e+00,3.593743e+00,1.100000e+00,1.300000e+00,9.350810e-01,7.661901e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.100000e+00,1.400000e+00,3.598621e+00,1.100000e+00,1.400000e+00,9.360827e-01,7.668086e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.100000e+00,1.500000e+00,3.603496e+00,1.100000e+00,1.500000e+00,9.370840e-01,7.674268e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.200000e+00,5.000000e-01,3.545344e+00,1.200000e+00,5.000000e-01,9.247955e-01,7.592610e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.200000e+00,6.000000e-01,3.550241e+00,1.200000e+00,6.000000e-01,9.258013e-01,7.598821e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.200000e+00,7.000000e-01,3.555136e+00,1.200000e+00,7.000000e-01,9.268066e-01,7.605030e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.200000e+00,8.000000e-01,3.560028e+00,1.200000e+00,8.000000e-01,9.278114e-01,7.611235e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.200000e+00,9.000000e-01,3.564919e+00,1.200000e+00,9.000000e-01,9.288158e-01,7.617438e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.200000e+00,1.000000e+00,3.569807e+00,1.200000e+00,1.000000e+00,9.298198e-01,7.623638e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.200000e+00,1.100000e+00,3.574693e+00,1.200000e+00,1.100000e+00,9.308233e-01,7.629835e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.200000e+00,1.200000e+00,3.579577e+00,1.200000e+00,1.200000e+00,9.318264e-01,7.636030e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.200000e+00,1.300000e+00,3.584458e+00,1.200000e+00,1.300000e+00,9.328290e-01,7.642221e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.200000e+00,1.400000e+00,3.589338e+00,1.200000e+00,1.400000e+00,9.338311e-01,7.648410e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.200000e+00,1.500000e+00,3.594215e+00,1.200000e+00,1.500000e+00,9.348329e-01,7.654597e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.300000e+00,5.000000e-01,3.537511e+00,1.300000e+00,5.000000e-01,9.228957e-01,7.576010e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.300000e+00,6.000000e-01,3.542409e+00,1.300000e+00,6.000000e-01,9.239018e-01,7.582225e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.300000e+00,7.000000e-01,3.547306e+00,1.300000e+00,7.000000e-01,9.249075e-01,7.588436e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.300000e+00,8.000000e-01,3.552200e+00,1.300000e+00,8.000000e-01,9.259128e-01,7.594645e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.300000e+00,9.000000e-01,3.557092e+00,1.300000e+00,9.000000e-01,9.269176e-01,7.600851e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.300000e+00,1.000000e+00,3.561982e+00,1.300000e+00,1.000000e+00,9.279219e-01,7.607054e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.300000e+00,1.100000e+00,3.566870e+00,1.300000e+00,1.100000e+00,9.289258e-01,7.613255e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.300000e+00,1.200000e+00,3.571755e+00,1.300000e+00,1.200000e+00,9.299293e-01,7.619452e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.300000e+00,1.300000e+00,3.576639e+00,1.300000e+00,1.300000e+00,9.309323e-01,7.625647e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.300000e+00,1.400000e+00,3.581520e+00,1.300000e+00,1.400000e+00,9.319349e-01,7.631840e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.300000e+00,1.500000e+00,3.586399e+00,1.300000e+00,1.500000e+00,9.329370e-01,7.638029e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.400000e+00,5.000000e-01,3.530823e+00,1.400000e+00,5.000000e-01,9.212736e-01,7.561838e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.400000e+00,6.000000e-01,3.535723e+00,1.400000e+00,6.000000e-01,9.222802e-01,7.568055e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.400000e+00,7.000000e-01,3.540621e+00,1.400000e+00,7.000000e-01,9.232862e-01,7.574269e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.400000e+00,8.000000e-01,3.545517e+00,1.400000e+00,8.000000e-01,9.242918e-01,7.580481e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.400000e+00,9.000000e-01,3.550410e+00,1.400000e+00,9.000000e-01,9.252969e-01,7.586690e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.400000e+00,1.000000e+00,3.555302e+00,1.400000e+00,1.000000e+00,9.263016e-01,7.592896e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.400000e+00,1.100000e+00,3.560191e+00,1.400000e+00,1.100000e+00,9.273059e-01,7.599099e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.400000e+00,1.200000e+00,3.565078e+00,1.400000e+00,1.200000e+00,9.283097e-01,7.605300e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.400000e+00,1.300000e+00,3.569963e+00,1.400000e+00,1.300000e+00,9.293130e-01,7.611498e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.400000e+00,1.400000e+00,3.574845e+00,1.400000e+00,1.400000e+00,9.303159e-01,7.617693e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.400000e+00,1.500000e+00,3.579725e+00,1.400000e+00,1.500000e+00,9.313184e-01,7.623885e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.500000e+00,5.000000e-01,3.525047e+00,1.500000e+00,5.000000e-01,9.198727e-01,7.549597e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.500000e+00,6.000000e-01,3.529948e+00,1.500000e+00,6.000000e-01,9.208795e-01,7.555817e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.500000e+00,7.000000e-01,3.534847e+00,1.500000e+00,7.000000e-01,9.218858e-01,7.562034e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.500000e+00,8.000000e-01,3.539744e+00,1.500000e+00,8.000000e-01,9.228917e-01,7.568248e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.500000e+00,9.000000e-01,3.544639e+00,1.500000e+00,9.000000e-01,9.238972e-01,7.574459e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.500000e+00,1.000000e+00,3.549532e+00,1.500000e+00,1.000000e+00,9.249022e-01,7.580667e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.500000e+00,1.100000e+00,3.554422e+00,1.500000e+00,1.100000e+00,9.259067e-01,7.586873e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.500000e+00,1.200000e+00,3.559310e+00,1.500000e+00,1.200000e+00,9.269108e-01,7.593076e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.500000e+00,1.300000e+00,3.564196e+00,1.500000e+00,1.300000e+00,9.279144e-01,7.599276e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.500000e+00,1.400000e+00,3.569080e+00,1.500000e+00,1.400000e+00,9.289176e-01,7.605474e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
1.500000e+00,1.500000e+00,3.573962e+00,1.500000e+00,1.500000e+00,9.299204e-01,7.611668e+06,5.000000e-01,1.800000e+02,6.000000e+00,7.112000e-04,8.500000e-01,2.000000e-01
